request_id,pax_id,origin,destination,origin_lon,origin_lat,dest_lon,dest_lat,geometry_wkt,treq,treq_time,start_x,start_y,end_x,end_y,mode,main_mode,travel_time,distance,origin_cluster,destination_cluster,od_cluster,temporal_cluster,cluster,trip_number,trip_id,ttrav_base,wait_time,traveled_distance,euclidean_distance,longest_distance_mode,modes,start_activity_type,end_activity_type,start_facility_id,end_facility_id,first_pt_boarding_stop,last_pt_egress_stop,base_score,subpopulation,withinArea,walking_distance,fare,detour_factor,commute,index,max_detour,max_cost,max_walking_distance,RegioStaRGem5,age,bikeAvail,bikeSharingAvail,carAvail,carSharingAvail,drtAvail,eBikeAvail,eScooterSharingAvail,econStatus,employed,gkz,hasLicense,hasSeasonTicket,hasSmartphone,hheink_gr2,homeX,homeY,netIncomeHH,occupation,personsBelow14InHH,personsInHH,rideAvail,sex,sim_carAvailability,sim_ptAbo,sim_regionType,vehicles,origin_shape_index,destination_shape_index,network_utility,max_absolute_detour,max_travel_time,max_positive_delay,positive_delay_rel_component,max_negative_delay,negative_delay_rel_component,earliest_departure,latest_departure,earliest_arrival,latest_arrival,earliest_departure_time,latest_departure_time,earliest_arrival_time,latest_arrival_time
15,362075e,454899,122446430,11.595370000012563,48.15035004209269,12.598100000069325,47.95753004218118,"LINESTRING (11.595370000012563 48.15035004209269, 12.598100000069325 47.95753004218118)",30419.0,08:26:59,693032.5504070726,5336268.957402827,768604.2321482152,5317847.305600081,,car,5736.0,94883.1,326,183,10,34,10_34,2,362075e_2,4201.0,0.0,95000.0,77784.0,car,"['walk', 'car', 'walk']",leisure,errands,150313leisure,150314errands,nan,nan,-4.656812466638001,default,False,,,,False,15,1.3,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,183,3.92,1720.8000000000002,7456.8,1200.0,0.0,1200.0,0.0,29219.0,31619.0,34955.0,37355.0,08:06:59,08:46:59,09:42:35,10:22:35
17,32ede04,77469839,9056952,11.557030000011668,48.14257004209636,11.941740000023986,48.04386004214212,"LINESTRING (11.557030000011668 48.14257004209636, 11.941740000023986 48.04386004214212)",32616.0,09:03:36,690209.9541661514,5335308.749119594,719244.3829840089,5325362.406966668,,car,2751.0,40204.4,326,308,11,37,11_37,2,32ede04_2,1740.0,0.0,40782.0,30690.0,car,"['walk', 'car', 'walk']",work,business,25830work,25831business,nan,nan,-2.374771852934,default,False,,,,False,17,1.2,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,308,1.79,550.1999999999999,3301.2,1200.0,0.0,1200.0,0.0,31416.0,33816.0,34167.0,36567.0,08:43:36,09:23:36,09:29:27,10:09:27
18,3628327,76796924,107986850,11.92362000002357,47.87995004221481,11.664550000014444,48.065220042132296,"LINESTRING (11.92362000002357 47.87995004221481, 11.664550000014444 48.065220042132296)",33240.0,09:14:00,718584.9653075382,5307095.600280997,698505.225119432,5326984.071694339,,car,2251.0,31371.2,57,319,12,37,12_37,1,3628327_1,3000.0,0.0,32855.0,28262.0,car,"['walk', 'car', 'walk']",home,shop_daily,151466home,151467shopping,nan,nan,-2.045719065712,default,False,,,,False,18,1.2,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,319,1.44,450.1999999999999,2701.2,1200.0,0.0,1200.0,0.0,32040.0,34440.0,34291.0,36691.0,08:54:00,09:34:00,09:31:31,10:11:31
20,32f2d5d,44050440,77672583,11.59738000001264,48.1213000421063,11.98830000002645,47.85493004222556,"LINESTRING (11.59738000001264 48.1213000421063, 11.98830000002645 47.85493004222556)",33420.0,09:17:00,693291.1059563451,5333045.503020639,723527.9843451269,5304500.37333418,,car,2713.0,54181.8,326,55,13,38,13_38,3,32f2d5d_3,1800.0,0.0,60486.0,41582.0,car,"['walk', 'car', 'walk']",shop_other,accomp_other,26660shop_other,26661accomp_other,nan,nan,-2.0762666550740008,default,False,,,,False,20,1.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,55,2.01,0.0,2713.0,1200.0,0.0,1200.0,0.0,32220.0,34620.0,34933.0,37333.0,08:57:00,09:37:00,09:42:13,10:22:13
23,32955b5,47100555,10168738,11.530370000011107,48.10174004211543,11.997140000026857,47.85479004222562,"LINESTRING (11.530370000011107 48.10174004211543, 11.997140000026857 47.85479004222562)",36120.0,10:02:00,688376.2452151569,5330705.430363414,724189.7699963659,5304510.445021702,,pt,3127.0,60257.5,219,55,14,41,14_41,1,32955b5_1,2820.0,0.0,61908.0,44371.0,pt,"['walk', 'pt', 'walk', 'pt', 'walk']",home,work,11242home,11243work,8004137.3,8000690.1,-4.824433333333333,default,False,,,,True,23,1.9,0.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,55,2.28,2814.2999999999997,5941.299999999999,1200.0,0.0,1200.0,0.0,34920.0,37320.0,38047.0,40447.0,09:42:00,10:22:00,10:34:07,11:14:07
26,33deadc,18543105,66963485,11.989750000026504,47.859180042223755,11.66324000001441,48.06443004213267,"LINESTRING (11.989750000026504 47.859180042223755, 11.66324000001441 48.06443004213267)",39788.0,11:03:08,723618.1460098122,5304976.866505298,698410.6774600823,5326892.897897916,,car,2603.0,37471.8,55,319,15,45,15_45,1,33deadc_1,1372.0,0.0,37629.0,33402.0,car,"['walk', 'car', 'walk']",errands,work,65385errands,65386work,nan,nan,-1.818442414994,default,False,,,,False,26,1.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,319,1.69,0.0,2603.0,1200.0,0.0,1200.0,0.0,38588.0,40988.0,41191.0,43591.0,10:43:08,11:23:08,11:26:31,12:06:31
27,3628327,107986850,76796924,11.664550000014444,48.065220042132296,11.92362000002357,47.87995004221481,"LINESTRING (11.664550000014444 48.065220042132296, 11.92362000002357 47.87995004221481)",40680.0,11:18:00,698505.225119432,5326984.071694339,718584.9653075382,5307095.600280997,,car,2267.0,31444.5,319,57,16,46,16_46,2,3628327_2,3000.0,0.0,33196.0,28262.0,car,"['walk', 'car', 'walk']",shop_daily,home,151467shopping,151468home,nan,nan,-2.0014932355000004,default,False,,,,False,27,1.2,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,57,1.45,453.3999999999999,2720.4,1200.0,0.0,1200.0,0.0,39480.0,41880.0,41747.0,44147.0,10:58:00,11:38:00,11:35:47,12:15:47
29,361f95b,78883257,112996982,11.973650000025808,47.843910042230256,11.527500000011017,48.131080042101736,"LINESTRING (11.973650000025808 47.843910042230256, 11.527500000011017 48.131080042101736)",42505.0,11:48:25,722479.410251952,5303233.433647874,688055.4392782138,5333959.150436147,,car,3391.0,59635.1,55,223,17,48,17_48,1,361f95b_1,2520.0,0.0,61565.0,46141.0,car,"['walk', 'car', 'walk']",visit,leisure,visit361f95b78883257,150165leisure,nan,nan,-2.902524292573999,default,False,,,,False,29,1.3,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,223,2.38,1017.3000000000002,4408.3,1200.0,0.0,1200.0,0.0,41305.0,43705.0,44696.0,47096.0,11:28:25,12:08:25,12:24:56,13:04:56
33,34bd5e9,32757770,85576872,12.165070000035689,47.84348004223048,11.673870000014611,48.14014004209751,"LINESTRING (12.165070000035689 47.84348004223048, 11.673870000014611 48.14014004209751)",47280.0,13:08:00,736801.435046287,5303754.886587509,698910.0607170984,5335334.373033265,,car,3389.0,74818.8,48,329,18,53,18_53,1,34bd5e9_1,2460.0,0.0,75498.0,49325.0,car,"['walk', 'car', 'walk']",shop_other,leisure,95987shop_other,95988leisure,nan,nan,-3.177395159329999,default,False,,,,False,33,1.4,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,329,2.63,1355.5999999999997,4744.599999999999,1200.0,0.0,1200.0,0.0,46080.0,48480.0,49469.0,51869.0,12:48:00,13:28:00,13:44:29,14:24:29
34,362075e,139142620,76002224,12.082060000030934,47.894200042208695,11.599930000012698,48.12801004210319,"LINESTRING (12.082060000030934 47.894200042208695, 11.599930000012698 48.12801004210319)",47820.0,13:17:00,730366.3956454663,5309140.045259963,693455.6433168522,5333797.6371644605,,car,3809.0,56319.3,49,326,19,54,19_54,3,362075e_3,2880.0,0.0,55994.0,44389.0,car,"['walk', 'car', 'walk']",accomp_other,leisure,150317accomp_other,150318leisure,nan,nan,-3.320082023555999,default,False,,,,False,34,1.4,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,326,2.49,1523.5999999999997,5332.599999999999,1200.0,0.0,1200.0,0.0,46620.0,49020.0,50429.0,52829.0,12:57:00,13:37:00,14:00:29,14:40:29
